exp;step;infector;infected
test_5_25_100_10.000000_4;0;-1;15
test_5_25_100_10.000000_4;0;-1;15
test_5_25_100_10.000000_4;0;-1;15
test_5_25_100_10.000000_4;0;-1;15
test_10_25_100_10.000000_4;0;-1;15
test_10_25_100_10.000000_4;0;-1;15
test_10_25_100_10.000000_4;0;-1;15
test_15_25_100_10.000000_4;0;-1;15
test_15_25_100_10.000000_4;0;-1;15
test_15_25_100_10.000000_4;0;-1;15
test_20_25_100_10.000000_4;0;-1;15
test_20_25_100_10.000000_4;0;-1;15
test_20_25_100_10.000000_4;0;-1;15
test_30_25_100_10.000000_4;0;-1;15
test_30_25_100_10.000000_4;0;-1;15
test_30_25_100_10.000000_4;0;-1;15
test_40_25_100_10.000000_4;0;-1;15
test_40_25_100_10.000000_4;0;-1;15
test_40_25_100_10.000000_4;0;-1;15
test_60_25_100_10.000000_4;0;-1;15
test_60_25_100_10.000000_4;0;-1;15
test_60_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_80_25_100_10.000000_4;0;-1;15
test_5_35_100_10.000000_4;0;-1;15
test_5_35_100_10.000000_4;0;-1;15
test_5_35_100_10.000000_4;0;-1;15
test_5_50_100_10.000000_4;0;-1;15
test_5_50_100_10.000000_4;0;-1;15
test_5_50_100_10.000000_4;0;-1;15
test_5_50_100_10.000000_4;0;-1;15
test_5_70_100_10.000000_4;0;-1;15
test_5_70_100_10.000000_4;0;-1;15
test_5_70_100_10.000000_4;0;-1;15
test_5_100_100_10.000000_4;0;-1;15
test_5_100_100_10.000000_4;0;-1;15
test_5_100_100_10.000000_4;0;-1;15
test_5_100_100_10.000000_4;0;-1;15
test_5_15_100_10.000000_4;0;-1;15
test_5_15_100_10.000000_4;0;-1;15
test_5_15_100_10.000000_4;0;-1;15
test_5_25_200_10.000000_4;0;-1;15
test_5_25_200_10.000000_4;0;-1;15
test_5_25_200_10.000000_4;0;-1;15
test_5_25_200_10.000000_4;0;-1;15
test_5_25_300_10.000000_4;0;-1;15
test_5_25_300_10.000000_4;0;-1;15
test_5_25_300_10.000000_4;0;-1;15
test_5_25_100_20.000000_4;0;-1;15
test_5_25_100_20.000000_4;0;-1;15
test_5_25_100_20.000000_4;0;-1;15
test_5_25_100_10.000000_5;0;-1;15
test_5_25_100_10.000000_5;0;-1;15
test_5_25_100_10.000000_5;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
test_5_25_100_10.000000_6;0;-1;15
